Filename,Length,DP res,OR res,Gen res,Optimum,DP acc,OR acc,Gen acc,DP time,OR time,Gen time
f9_l-d_kp_5_80,5,130,130,130,130,100.0,100.0,100.0,0,0,30
f7_l-d_kp_7_50,7,107,107,107,107,100.0,100.0,100.0,0,0,30
f3_l-d_kp_4_20,4,35,35,35,35,100.0,100.0,100.0,0,0,30
f4_l-d_kp_4_11,4,23,23,23,23,100.0,100.0,100.0,0,0,30
f10_l-d_kp_20_879,20,1025,1025,827,1025,100.0,100.0,80.68,0,0,30
f1_l-d_kp_10_269,10,295,295,283,295,100.0,100.0,95.93,0,0,30
f6_l-d_kp_10_60,10,52,52,50,52,100.0,100.0,96.15,0,0,30
f8_l-d_kp_23_10000,23,9767,9767,9767,9767,100.0,100.0,100.0,0,1,30
f2_l-d_kp_20_878,20,1024,1024,908,1024,100.0,100.0,88.67,0,0,30
